NOME;TIPO DATI;IMPORT DATI FATTO;NOTE
banche;STORICO;VERO;ACCESS
banche_sedi;STORICO;VERO;ACCESS
clienti;FITTIZIO;FALSO;ACCESS
clienti_destinazioni;FITTIZIO;FALSO;ACCESS
condizioni;STORICO;VERO;ACCESS
condizioni_lingue;FITTIZIO;FALSO;ACCESS
conversione_valuta;EFFETTIVO;VERO;
corrieri;STORICO;VERO;ACCESS
documenti;FITTIZIO;FALSO;
documenti_lingue;FITTIZIO;FALSO;
documenti_righe;FITTIZIO;FALSO;
feedback;FITTIZIO;FALSO;
lingue;EFFETTIVO;VERO;
macro_gruppi;FITTIZIO;FALSO;
macro_gruppi_righe;FITTIZIO;FALSO;
montaggi;FITTIZIO;FALSO;
montaggi_operatori;FITTIZIO;FALSO;
nazioni;EFFETTIVO;VERO;
notifiche;FITTIZIO;FALSO;
prodotti;FITTIZIO;FALSO;
prodotti_lingue;FITTIZIO;FALSO;
prodotti_proprieta;FITTIZIO;FALSO;
proprieta;STORICO;VERO;FUSION
sconti;FITTIZIO;FALSO;ACCESS
tabelle;EFFETTIVO;VERO;
tipi_capitolo;FITTIZIO;FALSO;
tipi_causale;EFFETTIVO;VERO;
tipi_cliente;EFFETTIVO;VERO;
tipi_contropartita;EFFETTIVO;VERO;
tipi_documento;EFFETTIVO;VERO;
tipi_imballo;EFFETTIVO;VERO;
tipi_impianto;EFFETTIVO;VERO;
tipi_merceologia;EFFETTIVO;VERO;
tipi_operatore;EFFETTIVO;VERO;
tipi_pagamento;EFFETTIVO;VERO;
tipi_percentuale_agente;EFFETTIVO;VERO;
tipi_proprieta;EFFETTIVO;VERO;
tipi_resa;EFFETTIVO;VERO;
tipi_stato_offerta;EFFETTIVO;VERO;
tipi_utente;EFFETTIVO;VERO;
tipi_vendita;EFFETTIVO;VERO;
utenti;STORICO;VERO;ACCESS
zone;STORICO;VERO;ACCESS
